G1;G2;G3;G4;y;Sala
-66;-54;-50;-53;3;Cozinha
-65;-54;-50;-53;3;Cozinha
-65;-54;-49;-53;3;Cozinha
-66;-54;-49;-52;3;Cozinha
-66;-54;-49;-52;3;Cozinha
-66;-54;-49;-53;3;Cozinha
-66;-54;-48;-53;3;Cozinha
-65;-54;-48;-53;3;Cozinha
-65;-54;-48;-53;3;Cozinha
-65;-54;-48;-53;3;Cozinha
-65;-54;-50;-53;3;Cozinha
-66;-54;-50;-53;3;Cozinha
-66;-55;-50;-53;3;Cozinha
-67;-55;-50;-53;3;Cozinha
-67;-56;-50;-53;3;Cozinha
-68;-56;-52;-53;3;Cozinha
-68;-55;-52;-53;3;Cozinha
-68;-55;-51;-54;3;Cozinha
-68;-56;-51;-54;3;Cozinha
-68;-56;-51;-54;3;Cozinha
-68;-55;-51;-52;3;Cozinha
-65;-55;-50;-52;3;Cozinha
-65;-54;-50;-53;3;Cozinha
-65;-54;-49;-53;3;Cozinha
-65;-53;-49;-52;3;Cozinha
-65;-53;-49;-52;3;Cozinha
-66;-53;-49;-52;3;Cozinha
-66;-53;-48;-52;3;Cozinha
-63;-53;-48;-51;3;Cozinha
-63;-53;-49;-51;3;Cozinha
-66;-53;-48;-52;3;Cozinha
-66;-53;-48;-52;3;Cozinha
-66;-53;-49;-52;3;Cozinha
-66;-53;-49;-52;3;Cozinha
-66;-54;-49;-52;3;Cozinha
-66;-54;-49;-52;3;Cozinha
-66;-54;-49;-52;3;Cozinha
-66;-54;-48;-52;3;Cozinha
-65;-54;-48;-52;3;Cozinha
-65;-53;-49;-52;3;Cozinha
-65;-53;-49;-52;3;Cozinha
-65;-53;-49;-52;3;Cozinha
-67;-54;-49;-52;3;Cozinha
-67;-54;-48;-52;3;Cozinha
-67;-53;-48;-52;3;Cozinha
-67;-53;-49;-52;3;Cozinha
-67;-53;-49;-52;3;Cozinha
-65;-53;-49;-52;3;Cozinha
-65;-53;-50;-53;3;Cozinha
-65;-53;-50;-53;3;Cozinha
-65;-54;-50;-53;3;Cozinha
-66;-54;-50;-52;3;Cozinha
-66;-53;-48;-52;3;Cozinha
-66;-53;-48;-52;3;Cozinha
-65;-53;-49;-52;3;Cozinha
-65;-54;-49;-52;3;Cozinha
-65;-54;-49;-52;3;Cozinha
-65;-54;-49;-52;3;Cozinha
-65;-54;-49;-52;3;Cozinha
-65;-54;-49;-52;3;Cozinha
-65;-54;-49;-52;3;Cozinha
-65;-54;-50;-52;3;Cozinha
-67;-54;-50;-52;3;Cozinha
-67;-53;-49;-52;3;Cozinha
-65;-53;-49;-52;3;Cozinha
-65;-53;-48;-52;3;Cozinha
-61;-49;-63;-46;4;Quarto
-61;-50;-64;-46;4;Quarto
-61;-50;-64;-45;4;Quarto
-63;-49;-64;-45;4;Quarto
-63;-49;-64;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-64;-48;-63;-45;4;Quarto
-64;-49;-63;-45;4;Quarto
-63;-49;-63;-45;4;Quarto
-63;-49;-63;-46;4;Quarto
-63;-49;-63;-46;4;Quarto
-63;-49;-63;-45;4;Quarto
-61;-49;-64;-45;4;Quarto
-61;-49;-64;-45;4;Quarto
-60;-49;-63;-45;4;Quarto
-60;-49;-63;-45;4;Quarto
-60;-49;-63;-45;4;Quarto
-60;-49;-63;-45;4;Quarto
-60;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-64;-45;4;Quarto
-60;-49;-64;-45;4;Quarto
-60;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-49;-64;-45;4;Quarto
-60;-49;-64;-45;4;Quarto
-60;-49;-64;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-62;-49;-64;-45;4;Quarto
-62;-49;-64;-45;4;Quarto
-62;-48;-64;-45;4;Quarto
-62;-48;-64;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-60;-49;-63;-45;4;Quarto
-60;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-50;-63;-45;4;Quarto
-62;-50;-64;-45;4;Quarto
-62;-49;-64;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-64;-49;-64;-45;4;Quarto
-64;-49;-64;-45;4;Quarto
-64;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-61;-49;-63;-46;4;Quarto
-61;-49;-63;-46;4;Quarto
-63;-49;-63;-46;4;Quarto
-63;-49;-63;-46;4;Quarto
-63;-49;-63;-46;4;Quarto
-63;-49;-64;-46;4;Quarto
-62;-49;-64;-46;4;Quarto
-62;-49;-64;-46;4;Quarto
-61;-49;-64;-46;4;Quarto
-61;-49;-63;-46;4;Quarto
-61;-49;-63;-46;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-60;-49;-63;-45;4;Quarto
-60;-49;-63;-45;4;Quarto
-63;-49;-63;-45;4;Quarto
-63;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-63;-45;4;Quarto
-61;-49;-62;-45;4;Quarto
-61;-49;-62;-45;4;Quarto
-61;-49;-64;-45;4;Quarto
-60;-49;-63;-45;4;Quarto
-60;-49;-63;-45;4;Quarto
-62;-49;-63;-45;4;Quarto
-62;-50;-63;-45;4;Quarto
-62;-50;-64;-45;4;Quarto
-62;-49;-64;-45;4;Quarto
-63;-49;-63;-45;4;Quarto
-63;-49;-63;-46;4;Quarto
-63;-49;-63;-46;4;Quarto
-63;-49;-63;-45;4;Quarto
-63;-49;-64;-45;4;Quarto
-49;-46;-76;-63;5;Sala
-49;-46;-73;-64;5;Sala
-49;-46;-71;-64;5;Sala
-50;-47;-71;-64;5;Sala
-50;-47;-71;-64;5;Sala
-50;-46;-72;-65;5;Sala
-50;-47;-71;-65;5;Sala
-50;-47;-71;-65;5;Sala
-50;-47;-71;-65;5;Sala
-50;-47;-70;-65;5;Sala
-50;-47;-70;-64;5;Sala
-50;-47;-70;-64;5;Sala
-50;-47;-67;-65;5;Sala
-50;-48;-69;-65;5;Sala
-49;-49;-75;-63;5;Sala
-49;-49;-75;-63;5;Sala
-50;-48;-80;-64;5;Sala
-50;-47;-80;-64;5;Sala
-49;-49;-73;-64;5;Sala
-49;-47;-73;-64;5;Sala
-50;-48;-70;-64;5;Sala
-50;-48;-81;-64;5;Sala
-50;-48;-75;-64;5;Sala
-50;-47;-75;-64;5;Sala
-50;-48;-75;-64;5;Sala
-47;-48;-72;-64;5;Sala
-47;-48;-72;-65;5;Sala
-48;-48;-82;-65;5;Sala
-48;-47;-66;-65;5;Sala
-52;-47;-66;-66;5;Sala
-52;-46;-65;-66;5;Sala
-54;-46;-72;-66;5;Sala
-54;-46;-72;-66;5;Sala
-50;-47;-71;-65;5;Sala
-50;-47;-71;-65;5;Sala
-50;-46;-68;-64;5;Sala
-49;-46;-68;-65;5;Sala
-49;-46;-69;-64;5;Sala
-50;-47;-69;-64;5;Sala
-50;-47;-69;-66;5;Sala
-49;-47;-69;-66;5;Sala
-49;-47;-69;-66;5;Sala
-52;-48;-70;-66;5;Sala
-52;-48;-70;-66;5;Sala
-50;-48;-65;-65;5;Sala
-50;-47;-65;-65;5;Sala
-51;-48;-68;-63;5;Sala
-51;-48;-68;-63;5;Sala
-50;-49;-75;-63;5;Sala
-50;-49;-75;-63;5;Sala
-50;-47;-73;-63;5;Sala
-50;-47;-73;-63;5;Sala
-50;-48;-73;-63;5;Sala
-50;-47;-75;-63;5;Sala
-48;-48;-75;-64;5;Sala
-48;-47;-81;-65;5;Sala
-49;-48;-81;-65;5;Sala
-49;-48;-74;-65;5;Sala
-49;-47;-74;-65;5;Sala
-49;-48;-76;-65;5;Sala
-50;-47;-76;-65;5;Sala
-50;-47;-80;-64;5;Sala
-50;-47;-80;-64;5;Sala
-48;-47;-75;-64;5;Sala
-48;-48;-75;-65;5;Sala
-50;-48;-73;-66;5;Sala
-50;-47;-73;-65;5;Sala
-50;-48;-70;-65;5;Sala
-50;-47;-70;-69;5;Sala
-50;-48;-76;-69;5;Sala
-50;-47;-76;-65;5;Sala
-49;-48;-71;-65;5;Sala
